id,Species,Order,Family,Genus,Total_suitable_pixels_threshold_1,Total_suitable_pixels_threshold_2,Total_suitable_pixels_threshold_3,Total_range_pixels,Model_prevalence_threshold_1,Model_prevalence_threshold_2,Model_prevalence_threshold_3,Minimum_elevation,Maximum_elevation,Model_prevalence_habitat,Model_prevalence_elevation,Percentage_clip_elevation_only,Percentage_clip_habitat_only,Percentage_clip_habitat_and_elevation,Number_of_habitats,Logistic_upper_outlier,Logistic_lower_outlier,Logistic_lower_outlier_issue,Estimated_model_prevalence_logistic,Red_List_Category,NULL_Issue,Point_Prevalence_T1,Point_Prevalence_T2,Point_Prevalence_T3,Number_of_Validation_Points,Realms
13,Abrothrix_andinus,RODENTIA,CRICETIDAE,Abrothrix,109834,0,52168586,54731950,0.955171888,0.953165126,0.953165126,0,9000,0.953168153,0.994577231,0.000302774,4.141210523,0.541974136,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
14,Abrothrix_illutea,RODENTIA,CRICETIDAE,Abrothrix,0,1912,1159282,5200980,0.223264462,0.223264462,0.222896839,700,2500,0.357605639,0.503862189,13.47088004,28.09653499,36.1429011,1,No,No,NA,0.52201834,LC,NA,NA,NA,NA,NA,Neotropic
15,Abrothrix_jelskii,RODENTIA,CRICETIDAE,Abrothrix,938157,58325,39954488,42900514,0.954556628,0.932688429,0.931328888,2200,5000,0.951681057,0.972061838,2.035216902,4.073295003,0.758599291,4,No,No,NA,0.479350048,LC,NA,NA,NA,NA,NA,Neotropic
16,Abrothrix_lanosus,RODENTIA,CRICETIDAE,Abrothrix,4979,3096677,1855968,5443324,0.910771433,0.909856735,0.34096225,0,9000,0.340837884,0.957787442,0.012436614,61.68251917,4.233692418,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
17,Abrothrix_longipilis,RODENTIA,CRICETIDAE,Abrothrix,174421,144309,79503003,80760892,0.988371117,0.986211395,0.984424528,0,9000,0.98443197,0.988377114,0.000744193,0.395258569,1.161544423,4,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
18,Abrothrix_manni,RODENTIA,CRICETIDAE,Abrothrix,0,3422,3395400,4853082,0.700342999,0.700342999,0.69963788,0,9000,0.6999192,0.994285807,0.028132016,29.4647927,0.543287322,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
19,Abrothrix_olivaceus,RODENTIA,CRICETIDAE,Abrothrix,238147,148768,114283274,120132404,0.95453171,0.952549339,0.951310972,0,9000,0.951324063,0.972971992,0.00130908,2.166102021,2.701491713,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
20,Abrothrix_sanborni,RODENTIA,CRICETIDAE,Abrothrix,0,29,427258,487608,0.876292021,0.876292021,0.876232547,0,800,0.88147231,0.927719174,0.523976231,5.148662666,6.704106357,1,No,No,NA,0.633621108,NT,NA,NA,NA,NA,NA,Neotropic
21,Acerodon_celebensis,CHIROPTERA,PTEROPODIDAE,Acerodon,1136279,250167,11936833,14482062,0.919984944,0.841523811,0.824249544,0,1500,0.90056447,0.922858466,7.631492604,9.860892154,0.08266084,2,No,No,NA,0.644771108,VU,NA,NA,NA,NA,NA,Australasia
22,Acerodon_humilis,CHIROPTERA,PTEROPODIDAE,Acerodon,0,0,67607,69231,0.9765423,0.9765423,0.9765423,0,9000,0.976865502,1,0,2.313449762,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Australasia
23,Acerodon_jubatus,CHIROPTERA,PTEROPODIDAE,Acerodon,0,0,8908804,12044830,0.739637172,0.739637172,0.739637172,0,1100,0.785450891,0.952665932,4.581371907,21.30287599,0.15203489,1,No,No,NA,0.620616168,EN,NA,NA,NA,NA,NA,Indomalayan
24,Acerodon_leucotis,CHIROPTERA,PTEROPODIDAE,Acerodon,0,0,957136,1042073,0.918492275,0.918492275,0.918492275,0,9000,0.91840957,1,0,8.159043033,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Indomalayan
25,Acerodon_mackloti,CHIROPTERA,PTEROPODIDAE,Acerodon,779323,24643,2986751,6106921,0.620724748,0.493111668,0.48907641,0,450,0.81012276,0.630049366,32.10463499,14.0972956,4.890428395,2,No,No,NA,0.602031923,VU,NA,NA,NA,NA,NA,Australasia
26,Acinonyx_jubatus,CARNIVORA,FELIDAE,Acinonyx,1066324,3146575,254278802,259890766,0.994616719,0.990513749,0.978406451,0,4000,0.978389274,0.999982711,0.001717657,2.157625968,0.003446592,4,No,No,NA,NA,VU,NA,NA,NA,NA,NA,NA
27,Acomys_airensis,RODENTIA,MURIDAE,Acomys,0,22741449,135294169,158781186,0.995304431,0.995304431,0.852079345,0,1000,0.856762907,0.995303238,0.468356196,14.32238927,0.001320009,4,No,No,NA,0.714399751,LC,NA,NA,NA,NA,NA,Multi
28,Acomys_cahirinus,RODENTIA,MURIDAE,Acomys,0,14232080,347151474,364827179,0.990560942,0.990560942,0.951550471,0,9000,0.951524272,0.990558922,0.002619944,3.90084508,0.946727767,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
29,Acomys_cilicicus,RODENTIA,MURIDAE,Acomys,113,166,1112,1526,0.911533421,0.837483617,0.72870249,0,9000,0.721052632,1,0,27.89473684,0,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Palearctic
30,Acomys_cineraceus,RODENTIA,MURIDAE,Acomys,0,3979539,77399062,88196002,0.9227017,0.9227017,0.877580165,0,2000,0.930659709,0.937924479,5.307954398,6.034431365,0.899597722,6,No,No,NA,0.853880678,LC,NA,NA,NA,NA,NA,Multi
31,Acomys_dimidiatus,RODENTIA,MURIDAE,Acomys,0,1016,80138052,139324202,0.575198471,0.575198471,0.575191179,300,1200,0.995941893,0.575231988,42.0750714,0.0040809,0.401729804,7,No,No,NA,0.837621797,LC,NA,NA,NA,NA,NA,Multi
32,Acomys_ignitus,RODENTIA,MURIDAE,Acomys,9233,1072066,5355342,8696568,0.740135764,0.739074081,0.615799474,0,1000,0.750487827,0.742253381,13.46883529,12.64539074,12.30582657,2,No,No,NA,0.618342035,LC,NA,NA,NA,NA,NA,Afrotropic
33,Acomys_johannis,RODENTIA,MURIDAE,Acomys,227442,0,32886668,35957492,0.920923795,0.914598493,0.914598493,200,1000,0.982347771,0.929458037,6.774927815,1.485954406,0.279268466,3,No,No,NA,0.64666394,LC,NA,NA,NA,NA,NA,Afrotropic
34,Acomys_kempi,RODENTIA,MURIDAE,Acomys,24136,6924336,33758180,47056156,0.865065391,0.864552472,0.717401991,0,700,0.815285479,0.869865738,9.788348798,15.24637473,3.225077377,2,No,No,NA,0.605983842,LC,NA,NA,NA,NA,NA,Afrotropic
35,Acomys_louisae,RODENTIA,MURIDAE,Acomys,12888,487148,36624267,57194915,0.649083979,0.648858644,0.640341314,0,500,0.989331843,0.649463541,34.89905295,0.912222792,0.154592902,3,No,No,NA,0.675519736,LC,NA,NA,NA,NA,NA,Afrotropic
36,Acomys_minous,RODENTIA,MURIDAE,Acomys,19988,171251,544322,825467,0.891084683,0.866870511,0.659410976,0,9000,0.660978136,0.999971494,0.0028506,33.90218641,0,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Palearctic
37,Acomys_mullah,RODENTIA,MURIDAE,Acomys,3266,1764078,9290519,13486020,0.819950067,0.81970789,0.688899987,0,1000,0.822466825,0.823512411,13.35668385,13.46124239,4.29207508,2,No,No,NA,0.618342035,LC,NA,NA,NA,NA,NA,Afrotropic
38,Acomys_muzei,RODENTIA,MURIDAE,Acomys,3919711,6539548,25297886,39308991,0.909642911,0.80992753,0.643564878,0,1800,0.651524304,0.989020773,0.795942605,34.5455895,0.30198009,2,No,No,NA,0.650521358,LC,NA,NA,NA,NA,NA,Afrotropic
39,Acomys_ngurui,RODENTIA,MURIDAE,Acomys,0,1817014,7527631,21807037,0.428515116,0.428515116,0.345192747,350,1100,0.649476629,0.533734147,30.42838823,18.85414002,16.19819708,1,No,No,NA,0.446468893,LC,NA,NA,NA,NA,NA,Afrotropic
40,Acomys_percivali,RODENTIA,MURIDAE,Acomys,36122,3932822,7738567,18440994,0.634863338,0.63290455,0.419639364,0,1000,0.63815379,0.669320718,21.85144261,24.96813541,11.21648555,3,No,No,NA,0.694239923,LC,NA,NA,NA,NA,NA,Afrotropic
41,Acomys_russatus,RODENTIA,MURIDAE,Acomys,0,5912755,54582841,62728798,0.964399095,0.964399095,0.870140075,0,9000,0.870147557,0.996184804,0.000748221,12.60447286,0.380771417,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
42,Acomys_selousi,RODENTIA,MURIDAE,Acomys,339819,8124752,14494437,23255476,0.987251691,0.972639261,0.623269848,0,1800,0.624379167,0.990028908,0.110931884,36.67590601,0.886177275,3,No,No,NA,0.722887816,LC,NA,NA,NA,NA,NA,Afrotropic
43,Acomys_seurati,RODENTIA,MURIDAE,Acomys,0,5116,12979523,27025837,0.480452798,0.480452798,0.480263497,1000,2000,0.999589708,0.480422781,51.93262106,0.015928306,0.025100882,2,No,No,NA,0.394903086,LC,NA,NA,NA,NA,NA,Palearctic
44,Acomys_spinosissimus,RODENTIA,MURIDAE,Acomys,4593,2828388,5782785,8750891,0.984558715,0.984033854,0.660822424,0,1800,0.665007003,0.99237917,0.41845797,33.15567466,0.343624997,2,No,No,NA,0.650521358,LC,NA,NA,NA,NA,NA,Afrotropic
45,Acomys_subspinosus,RODENTIA,MURIDAE,Acomys,76364,6337857,1527175,9460687,0.839410077,0.831338358,0.161423267,0,1000,0.173767962,0.886301643,1.234469521,72.48783769,10.13536613,2,No,No,NA,0.618342035,LC,NA,NA,NA,NA,NA,Afrotropic
46,Acomys_wilsoni,RODENTIA,MURIDAE,Acomys,175985,16667542,57715511,113528913,0.656740526,0.655190392,0.508377201,0,1000,0.675069359,0.663484537,16.66921578,15.51073359,16.98233056,3,No,No,NA,0.694239923,LC,NA,NA,NA,NA,NA,Afrotropic
47,Aconaemys_fuscus,RODENTIA,OCTODONTIDAE,Aconaemys,0,934531,1826830,3252440,0.849012126,0.849012126,0.561679847,0,4000,0.561770663,0.993637284,0.009081604,43.19574377,0.627189975,2,No,No,NA,0.649675073,LC,NA,NA,NA,NA,NA,Neotropic
48,Aconaemys_porteri,RODENTIA,OCTODONTIDAE,Aconaemys,0,534251,1633297,2440582,0.888127504,0.888127504,0.66922439,0,9000,0.669823387,0.995433629,0.059899659,32.62092386,0.396737487,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
49,Aconaemys_sagei,RODENTIA,OCTODONTIDAE,Aconaemys,0,624579,2386010,4271292,0.704842703,0.704842703,0.55861552,0,9000,0.558213707,0.99663615,0.040181229,43.802063,0.376566265,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
50,Acrobates_pygmaeus,DIPROTODONTIA,ACROBATIDAE,Acrobates,47240990,9667234,53261262,113129194,0.973837805,0.556253375,0.470800331,0,1200,0.479524913,0.987747069,0.872458228,51.69467383,0.352834823,2,No,No,NA,0.540579105,LC,NA,0.976470588,0.976470588,0.976470588,85,Australasia
51,Addax_nasomaculatus,CETARTIODACTYLA,BOVIDAE,Addax,0,0,2921384,2921384,1,1,1,0,9000,1,1,0,0,0,3,No,No,NA,NA,CR,NA,NA,NA,NA,NA,NA
52,Aegialomys_galapagoensis,RODENTIA,CRICETIDAE,Aegialomys,0,281,1410,1794,0.942586399,0.942586399,0.785953177,0,9000,0.765217391,1,0,23.47826087,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Neotropic
53,Aegialomys_xanthaeolus,RODENTIA,CRICETIDAE,Aegialomys,1284,831250,4430157,21490346,0.244886285,0.244826537,0.206146378,500,1800,0.731779061,0.244956113,52.56326823,3.880973451,22.94112047,5,No,Yes,Elevation,0.822339219,LC,NA,NA,NA,NA,NA,Neotropic
54,Aepeomys_lugens,RODENTIA,CRICETIDAE,Aepeomys,254,0,393555,788847,0.499221015,0.498899026,0.498899026,1900,3500,0.994662028,0.498946322,49.57630018,0.004729602,0.529067615,3,No,No,NA,0.411683603,LC,NA,NA,NA,NA,NA,Neotropic
55,Aepeomys_reigi,RODENTIA,CRICETIDAE,Aepeomys,107,0,221650,1088080,0.203805786,0.203707448,0.203707448,1600,3230,0.985489173,0.203800352,78.17817248,0.00929038,1.441792346,3,No,No,NA,0.479899551,VU,NA,NA,NA,NA,NA,Neotropic
56,Aepyceros_melampus,CETARTIODACTYLA,BOVIDAE,Aepyceros,3430247,38431715,229126570,287027336,0.944120988,0.932170046,0.798274385,0,1700,0.827577458,0.96437656,2.930307309,16.61021752,0.632036717,3,No,No,NA,NA,LC,NA,0.957627119,0.957627119,0.957627119,118,NA
57,Aepyprymnus_rufescens,DIPROTODONTIA,POTOROIDAE,Aepyprymnus,14242558,173228,36699724,51200234,0.998345242,0.720171552,0.716788208,0,9000,0.716905076,0.999999081,9.18951396977619e-05,28.30949242,0,3,No,No,NA,NA,LC,NA,1,1,1,14,Australasia
58,Aeretes_melanopterus,RODENTIA,SCIURIDAE,Aeretes,0,21628,1801227,5467373,0.333406007,0.333406007,0.329450177,0,3000,0.646321418,0.430468819,31.68712415,10.10186429,25.2659939,1,No,No,NA,0.6434756,NT,NA,NA,NA,NA,NA,Palearctic
59,Aeromys_tephromelas,RODENTIA,SCIURIDAE,Aeromys,1632653,373740,27759549,29797777,0.998931632,0.944140531,0.931597985,0,9000,0.931648168,0.999987104,0.001289627,6.835183247,0,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Indomalayan
60,Aeromys_thomasi,RODENTIA,SCIURIDAE,Aeromys,156078,0,35658932,36746769,0.974643784,0.97039639,0.97039639,0,1600,0.976054484,0.994196772,0.565809335,2.38003819,0.014513426,2,No,No,NA,0.771579303,LC,NA,NA,NA,NA,NA,Indomalayan
61,Aethalops_aequalis,CHIROPTERA,PTEROPODIDAE,Aethalops,0,0,4480444,7691074,0.58255115,0.58255115,0.58255115,550,9000,0.986000595,0.586263046,40.34494459,0.37118965,1.028750804,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Indomalayan
62,Aethalops_alecto,CHIROPTERA,PTEROPODIDAE,Aethalops,0,0,3317463,13109733,0.253053437,0.253053437,0.253053437,1000,2700,0.916681172,0.261545658,66.36277344,0.849222028,7.482660789,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,NA
63,Aethomys_bocagei,RODENTIA,MURIDAE,Aethomys,6887292,602197,13572523,21172649,0.994774532,0.669482595,0.641040382,0,9000,0.640828719,0.999998518,0.021166324,35.89581366,0.021314479,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
64,Aethomys_chrysophilus,RODENTIA,MURIDAE,Aethomys,32264804,735866,321200489,358984879,0.986674313,0.896796422,0.89474657,0,9000,0.894737218,0.999998602,0.000935147,10.52520324,0.001074953,4,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
65,Aethomys_hindei,RODENTIA,MURIDAE,Aethomys,1486245,2400730,194432446,205801620,0.963643634,0.956421898,0.944756635,0,9000,0.944782029,0.999997714,0.000228624,5.521797141,0,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
66,Aethomys_ineptus,RODENTIA,MURIDAE,Aethomys,733818,1228365,52644959,54814262,0.996221421,0.982834066,0.960424479,0,9000,0.960402059,0.999997997,0.002241924,3.957351862,0.002442204,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
67,Aethomys_kaiseri,RODENTIA,MURIDAE,Aethomys,19756387,16955347,94446874,141216551,0.928776458,0.788875101,0.668808814,0,9000,0.668741483,0.999997557,0.006733117,33.11887426,0.006977455,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
68,Aethomys_nyikae,RODENTIA,MURIDAE,Aethomys,0,11863052,39108785,75435761,0.675698585,0.675698585,0.518438264,0,9000,0.518387801,1,0,48.16121986,0,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
69,Aethomys_silindensis,RODENTIA,MURIDAE,Aethomys,0,447189,868385,1673242,0.786242516,0.786242516,0.518983506,0,9000,0.518307285,1,0,48.1692715,0,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Afrotropic
70,Aethomys_stannarius,RODENTIA,MURIDAE,Aethomys,0,219789,14044577,14264400,0.999997616,0.999997616,0.984589397,0,9000,0.984666155,1,0,1.533384496,0,5,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Afrotropic
71,Aethomys_thomasi,RODENTIA,MURIDAE,Aethomys,21297,5238467,1539218,22995702,0.295663163,0.294737034,0.06693503,0,9000,0.066885959,1,0,93.31140414,0,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
72,Ailuropoda_melanoleuca,CARNIVORA,URSIDAE,Ailuropoda,0,4245,2372866,2479734,0.958615319,0.958615319,0.956903442,1200,4100,0.96520216,0.99144756,0.829871802,3.454411773,0.025372219,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,NA
73,Ailurops_melanotis,DIPROTODONTIA,PHALANGERIDAE,Ailurops,47,307,19514,19872,0.999798712,0.997433575,0.981984702,0,9000,0.979535616,1,0,2.04643841,0,3,No,No,NA,NA,CR,NA,NA,NA,NA,NA,Australasia
74,Ailurops_ursinus,DIPROTODONTIA,PHALANGERIDAE,Ailurops,1061540,244140,7962030,14671003,0.63170255,0.559346215,0.542705226,0,600,0.901376261,0.634354193,35.86710347,9.164896718,0.697477202,3,No,No,NA,0.825973636,VU,NA,NA,NA,NA,NA,Australasia
75,Ailurus_fulgens,CARNIVORA,AILURIDAE,Ailurus,3844,4794288,14396965,31782176,0.603957923,0.603836975,0.45298865,2500,4800,0.778649217,0.604767208,32.56605669,15.17785584,6.957222467,2,No,No,NA,0.452988619,EN,NA,NA,NA,NA,NA,Multi
76,Akodon_aerosus,RODENTIA,CRICETIDAE,Akodon,51706,1362,5060696,9563631,0.534709463,0.529302939,0.529160525,1200,2400,0.986072268,0.53464633,45.69117432,0.548580483,0.844192708,4,No,No,NA,0.632801447,LC,NA,NA,NA,NA,NA,Neotropic
77,Akodon_affinis,RODENTIA,CRICETIDAE,Akodon,10403,10,2103957,3487904,0.606200744,0.60321815,0.603215283,1300,3000,0.852549473,0.673714246,24.93341894,7.049896244,7.695156473,2,No,No,NA,0.466440601,LC,NA,NA,NA,NA,NA,Neotropic
78,Akodon_albiventer,RODENTIA,CRICETIDAE,Akodon,5540376,12941507,10486851,35256427,0.821658247,0.664513111,0.297445087,2350,4500,0.353886912,0.824368607,5.644182458,52.69235201,11.91895682,2,No,No,NA,0.267741186,LC,NA,NA,NA,NA,NA,Neotropic
79,Akodon_azarae,RODENTIA,CRICETIDAE,Akodon,631772,36907664,83069712,120659179,0.999585353,0.994349348,0.688465749,0,9000,0.688479628,0.999586781,0.001387985,31.11210322,0.039933929,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
80,Akodon_boliviensis,RODENTIA,CRICETIDAE,Akodon,0,1025954,15955856,18812645,0.902680617,0.902680617,0.848145277,2500,5000,0.896736969,0.918157043,4.859169251,7.001176655,3.325126419,4,No,No,NA,0.39985689,LC,NA,NA,NA,NA,NA,Neotropic
81,Akodon_budini,RODENTIA,CRICETIDAE,Akodon,0,188,879464,1779435,0.494343429,0.494343429,0.494237778,800,2500,0.860024682,0.5121733,36.57869038,1.793552212,12.20397963,1,No,No,NA,0.49508153,LC,NA,NA,NA,NA,NA,Neotropic
82,Akodon_caenosus,RODENTIA,CRICETIDAE,Akodon,1968043,1710580,3666673,16843368,0.436094254,0.319250461,0.217692388,0,9000,0.217666949,1,0,78.23330512,0,1,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
83,Akodon_cursor,RODENTIA,CRICETIDAE,Akodon,0,38429,22781782,71484944,0.319231012,0.319231012,0.31869343,0,800,0.466644427,0.744783185,14.79509968,42.60897549,10.72658183,1,No,No,NA,0.633621108,LC,NA,NA,NA,NA,NA,Neotropic
84,Akodon_dayi,RODENTIA,CRICETIDAE,Akodon,993036,287081,20587644,24795584,0.881921595,0.84187269,0.830294782,0,2450,0.934301791,0.881920397,10.40070092,5.162561551,1.407259381,4,No,No,NA,0.863726042,LC,NA,NA,NA,NA,NA,Neotropic
85,Akodon_dolores,NA,NA,Akodon,175429,16025291,59588011,81883991,0.925562251,0.923419842,0.727712588,0,9000,0.727728134,0.99885817,0.001554636,27.11455819,0.112628383,1,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Neotropic
86,Akodon_fumeus,RODENTIA,CRICETIDAE,Akodon,20417,2551,8208394,13052837,0.630618616,0.629054435,0.628858998,1000,3500,0.990832578,0.630698097,36.19735796,0.183909925,0.732832291,4,No,No,NA,0.721262769,LC,NA,NA,NA,NA,NA,Neotropic
87,Akodon_iniscatus,RODENTIA,CRICETIDAE,Akodon,420660,41580,62466098,62987875,0.999054786,0.992376358,0.991716231,0,9000,0.991723104,0.999050839,0.000687291,0.733460814,0.094228785,4,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
88,Akodon_juninensis,RODENTIA,CRICETIDAE,Akodon,355204,808476,7024890,9720430,0.842408206,0.805866201,0.722693338,2700,9000,0.751821019,0.872012734,2.912768171,14.9319396,9.885958467,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
89,Akodon_kofordi,RODENTIA,CRICETIDAE,Akodon,312,6,551716,1157430,0.476948066,0.476678503,0.476673319,1800,3700,0.998258513,0.477106556,52.15851933,0.043323665,0.130825073,4,No,No,NA,0.530710969,LC,NA,NA,NA,NA,NA,Neotropic
90,Akodon_lindberghi,RODENTIA,CRICETIDAE,Akodon,1842415,13957,6862414,14473148,0.602411169,0.475112325,0.474147988,0,9000,0.473833839,1,0,52.61661613,0,1,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
91,Akodon_lutescens,RODENTIA,CRICETIDAE,Akodon,689252,39968,8533361,10274620,0.901501077,0.83441811,0.830528136,1130,4360,0.924772585,0.901480385,9.42444482,7.095224898,0.427516651,4,No,No,NA,0.723084468,LC,NA,NA,NA,NA,NA,Neotropic
92,Akodon_mimus,RODENTIA,CRICETIDAE,Akodon,1129568,4002,842680,4931984,0.400700813,0.171671684,0.170860246,2000,3700,0.222332443,0.455719827,5.147219699,28.48595809,49.2807976,3,No,No,NA,0.394099831,LC,NA,NA,NA,NA,NA,Neotropic
93,Akodon_molinae,RODENTIA,CRICETIDAE,Akodon,415723,3203197,40859616,44641327,0.996353357,0.987040842,0.91528677,0,9000,0.915211571,0.997924638,0.007519902,8.26378677,0.215056128,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
94,Akodon_mollis,RODENTIA,CRICETIDAE,Akodon,0,11371713,10541232,22024332,0.994942548,0.994942548,0.478617558,0,4900,0.480561615,0.994963933,0.194405737,51.63463752,0.30920094,4,No,No,NA,0.906506691,LC,NA,NA,NA,NA,NA,Neotropic
95,Akodon_montensis,RODENTIA,CRICETIDAE,Akodon,4159065,0,18735561,95090980,0.240765486,0.197027741,0.197027741,800,9000,0.795030139,0.240845351,59.80023978,4.381760982,16.11522511,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
96,Akodon_mystax,RODENTIA,CRICETIDAE,Akodon,0,4813,2401,1553329,0.004644219,0.004644219,0.001545712,1800,2900,0.438756191,0.006729978,43.72104786,0.518426547,55.60595435,3,No,No,NA,0.412578536,DD,NA,NA,NA,NA,NA,Neotropic
97,Akodon_orophilus,RODENTIA,CRICETIDAE,Akodon,0,1957,1479514,2812380,0.52676772,0.52676772,0.526071868,1800,3700,0.997941796,0.526794305,47.18699278,0.072243712,0.133576711,5,No,No,NA,0.613132464,LC,NA,NA,NA,NA,NA,Neotropic
